city,count,latitude,longitude
Tumaco,10,1.8066669999999998,-78.76472199999999
Datta Khel,10,32.901089,69.74940500000001
Lehri,10,29.082774,68.095446
Charkh district,10,33.741026,68.939036
Kolofata,10,11.162543,14.013976000000001
Pikit,10,7.054216,124.673096
Dera Allah Yar,10,28.380661,68.343147
Starohnativka,10,47.541171999999996,37.780678
Kanaan,10,33.693409,44.796085
Kirkuk district,10,35.466667,44.316666999999995
Khanabad district,10,36.667352,69.097409
Mingora,10,34.774479,72.364052
Bani Saad,10,33.573485999999995,44.547424
Bacho district,10,6.5504809999999996,101.649822
Thessaloniki,10,40.620663,22.951999999999998
Kaduna,10,10.516667,7.433333
Naw Zad district,10,32.400023,64.431892
Taywara district,10,33.521157,64.416724
Sari Pul,10,36.217655,65.933037
Hisarak district,10,34.300959000000006,69.8342
Shibam,10,15.914914999999999,48.650745
Bamenda,10,5.961483,10.169027
Bokaro district,10,23.727918,86.104956
Si Sakhon district,10,6.172186,101.496092
Hudaydah,10,14.781294,42.972851
Leego,10,2.71581,44.511845
Daglica,10,37.373857,44.085046000000006
Baharak district,10,37.055325,71.18087299999999
Muqur district,10,32.806121000000005,67.773521
Himreen,10,34.100722999999995,45.05196
Tapuah,10,32.119816,35.249802
Ecatepec,10,19.602523,-99.05142099999999
Kolkata,10,22.551729,88.35234100000001
Van,9,38.491659000000006,43.375882
Gizab district,9,33.395618,66.223015
Bara,9,33.915234000000005,71.458679
Mir Ali,9,32.975433,70.273735
Burhakaba,9,2.798167,44.078559999999996
Dahana-i-Ghuri district,9,35.809092,68.549566
Hangu district,9,33.443839000000004,70.907124
Dublin,9,53.361675,-6.2454849999999995
Mabini,9,7.282128999999999,125.857401
Sirwah district,9,15.45641,45.018612
Patikul,9,6.066546,121.10022099999999
Jhao,9,26.374252000000002,65.612984
Kuchlak,9,30.354934999999998,66.944313
Masaeed,9,31.116553999999997,33.72472
Duma,9,33.571575,36.40044
Sinjar district,9,36.322969,41.874576
Sokilnyky,9,48.747036,38.869106
Port Harcourt,9,4.8274040000000005,7.015944999999999
Lamu,9,-2.267896,40.901205
